,atss_count,bloc_count,cloc_count,dpt_count,etp_count,loc_count,nbeh_count,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nfl_count,nfmd_count,nicd_count,nierr_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nnnv_count,nnwv_count,nsh_count,ntkn_count,ntnn_count,nts_count,ntun_count,ntvr_count,nun_count,clusters
3777,4.0,0,0,2,-5.78,26,0.0,0.0,9,0.0,7,1,1,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,3,0.0,4.0,6,0,1.0,102,0.0,6.0,6.0,1.0,6.0,0
3778,4.0,0,0,1,-4.94,15,0.0,0.0,4,1.0,3,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,1.0,3.0,4,0,0.0,57,0.0,4.0,4.0,1.0,4.0,0
3779,4.0,0,0,1,-4.44,7,0.0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0.0,1.0,2,0,1.0,33,0.0,2.0,2.0,3.0,2.0,0
3780,5.0,0,0,2,-4.81,20,0.0,0.0,9,0.0,6,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16,0,0,0.0,3.0,3,2,0.0,65,1.0,4.0,3.0,2.0,3.0,0
3781,4.0,0,0,2,-5.62,31,0.0,0.0,12,0.0,6,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,27,0,3,1.0,5.0,5,1,0.0,88,3.0,8.0,5.0,6.0,6.0,0
3782,5.0,0,0,2,-4.72,10,0.0,0.0,3,0.0,4,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,0,0,0.0,2.0,2,0,0.0,37,0.0,2.0,2.0,1.0,2.0,0
3783,8.0,0,0,2,-4.04,8,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0.0,1.0,2,0,0.0,19,0.0,1.0,1.0,0.0,2.0,0
3784,8.0,0,0,2,-4.68,15,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,1.0,2.0,2,0,0.0,33,0.0,2.0,2.0,1.0,2.0,0
3785,11.0,0,0,3,-5.75,44,0.0,1.0,7,0.0,3,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0,1,0.0,2.0,10,0,0.0,123,0.0,4.0,4.0,4.0,8.0,0
3786,465.0,0,0,4,-5.78,467,1.0,1.0,130,0.0,2,0,0,0.0,0.0,2.0,7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420,0,0,0.0,0.0,52,28,0.0,1531,1.0,1.0,0.0,12.0,23.0,2
