apls_count,atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,dpt_count,etp_count,file,loc_count,nbeh_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpp_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,niu_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nmo_count,nnnv_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,npl_count,npnn_count,npnn_count_relative,npun_count,npun_count_relative,npvr_count,nrgv_count,nrl_count,nrvr_count,nscm_count,nsh_count,ntkn_count,ntnn_count,ntnn_count_relative,nts_count,ntun_count,ntun_count_relative,ntvr_count,nun_count,nun_count_relative,nvr_count
,5.0,0,0.0,0,0.0,2,-3.88,redhat-openstack_ansible-nfv_roles_configuration_nfv_lab_switches_tasks_junos_backup_restore.yml,10,0.0,0.0,0.0,7,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10,0,0,0.0,1.0,0,0,0.0,2,1.0,,,,,,,,,,0,0.0,34,0.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,
,4.0,0,0.0,0,0.0,2,-3.28,epiphany-platform_epiphany_core_core_src_ansible_roles_deployments_tasks_applications_rabbitmq_cleanup.yml,4,0.0,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4,0,0,0.0,1.0,0,1,1.0,0,0.0,,,,,,,,,,0,0.0,11,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
,6.0,0,0.0,0,0.0,2,-6.21,CentOS-PaaS-SIG_linchpin_linchpin_tests_mockdata_dummy_fetch_ws1_hooks_ansible_libvirt-setup_roles_libvirt-system_tasks_main.yml,61,0.0,0.0,0.0,29,0.0,5,1,1,0.0,0.0,3.0,0.23,11,0.0,0.0,0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,52,0,1,3.0,6.0,0,7,0.88,1,0.12,,,,,,,,,,0,3.0,228,3.0,0.3,10.0,7.0,0.7,19.0,8.0,1.0,
,4.0,0,0.0,0,0.0,2,-4.23,redhat-cop_agnosticd_ansible_roles_molecule_tasks_main.yml,12,0.0,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12,0,0,0.0,2.0,0,4,0.67,2,0.33,,,,,,,,,,0,0.0,37,0.0,0.0,3.0,3.0,1.0,2.0,6.0,1.0,
,3.0,0,0.0,0,0.0,2,-5.8,liip_drifter_provisioning_roles_django_tasks_main.yml,25,0.0,0.0,0.0,10,2.0,4,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,24,0,3,0.0,7.0,0,8,1.0,0,0.0,,,,,,,,,,0,0.0,109,0.0,0.0,8.0,6.0,0.75,5.0,6.0,0.75,
,6.0,0,0.0,0,0.0,2,-5.23,sensu_sensu-ansible_tasks_FreeBSD_main.yml,43,0.0,0.0,0.0,8,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,40,0,0,1.0,6.0,0,7,0.64,4,0.36,,,,,,,,,,0,0.0,121,0.0,0.0,7.0,7.0,1.0,7.0,11.0,1.0,
,2.0,0,0.0,0,0.0,1,-3.88,redhat-cop_agnosticd_ansible_roles_config-redis_tasks_main.yml,5,0.0,0.0,0.0,1,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,5,0,0,0.0,2.0,0,2,1.0,0,0.0,,,,,,,,,,0,0.0,16,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,
,7.0,0,0.0,0,0.0,3,-3.66,DigitalState_Platform_platform_ansible_role_app_documentation_repository_branch_pull_tasks_main.yml,7,0.0,0.0,1.0,0,0.0,0,1,1,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6,0,0,0.0,0.0,0,1,1.0,0,0.0,,,,,,,,,,0,0.0,14,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,
,8.0,0,0.0,0,0.0,2,-5.87,ansible_ansible_test_integration_targets_postgresql_tasks_pg_authid_not_readable.yml,47,0.0,0.0,0.0,13,0.0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,37,0,0,0.0,3.0,0,5,0.71,2,0.29,,,,,,,,,,0,1.0,189,1.0,0.17,6.0,5.0,0.83,7.0,5.0,0.71,
,8.0,0,0.0,0,0.0,2,-4.98,openstack_kolla-ansible_ansible_roles_influxdb_tasks_precheck.yml,25,0.0,0.0,0.0,8,0.0,6,0,0,0.0,0.0,1.0,0.33,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20,0,2,0.0,1.0,0,4,1.0,0,0.0,,,,,,,,,,0,0.0,69,0.0,0.0,3.0,3.0,1.0,4.0,4.0,1.0,
