,atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,dpt_count,etp_count,loc_count,nbeh_count,nbeh_count_relative,nbl_count,ncmd_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nlk_count,nlo_count,nlp_count,nmd_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,nsh_count,ntnn_count,ntun_count_relative,nun_count_relative,clusters
84,7.0,3,0.04,0,0.0,2,-6.33,74,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.0,8.0,1.0,0,0.0,2.0,0.0,1.0,1.0,5
85,14.0,0,0.0,1,0.04,2,-5.35,27,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1.0,2.0,1.0,0,0.0,1.0,0.0,1.0,1.0,0
86,5.0,1,0.02,0,0.0,2,-6.27,64,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.28,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,5.0,11.0,0.87,2,0.13,1.0,1.0,0.77,0.73,5
87,7.0,0,0.0,0,0.0,3,-6.63,155,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,6.0,0.79,6,0.21,0.0,1.0,0.95,0.72,3
88,5.0,0,0.0,0,0.0,2,-3.25,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1
89,5.0,0,0.0,0,0.0,3,-5.52,67,0.0,0.0,3.0,5.0,0,0,0.0,0.0,0.21,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,1.0,0,0.0,0.0,0.0,1.0,1.0,5
90,7.0,0,0.0,0,0.0,2,-4.6,14,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,2.0,2.0,0.0,0,0.0,0.0,2.0,0.0,0.0,1
91,4.0,0,0.0,0,0.0,2,-5.6,26,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,6.0,1.0,0,0.0,0.0,1.0,0.83,1.0,0
92,5.0,5,0.08,0,0.0,2,-6.0,62,0.0,0.0,2.0,2.0,0,0,0.0,0.0,0.29,1,0.0,0.0,0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0,2,2.0,5.0,0.33,6,0.67,3.0,3.0,0.75,1.0,4
93,7.0,0,0.0,0,0.0,2,-5.66,347,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.77,17,0.23,0.0,0.0,0.84,0.58,2
