,atss_count,bloc_count_relative,cloc_count_relative,dpt_count,etp_count,loc_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count_relative,nfl_count,nfmd_count_relative,nicd_count,nierr_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nnnv_count_relative,nnwv_count_relative,nsh_count,ntkn_count,ntnn_count_relative,nts_count,ntun_count_relative,ntvr_count,nun_count_relative,clusters
1272,4.0,0.0,0.0,2,-4.02,9,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,0,0,0.0,2.0,1.0,0.0,0.0,25,0.0,2.0,1.0,2.0,1.0,1
1273,9.0,0.0,0.0,2,-4.0,9,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0.0,1.0,1.0,0.0,0.0,16,0.0,1.0,1.0,3.0,1.0,1
1274,5.0,0.0,0.0,2,-6.44,63,0.0,0.0,11,1.0,0,0,0,0.0,0.0,0.28,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,0,0,3.0,9.0,0.92,0.08,1.0,196,0.0,13.0,1.0,12.0,1.0,0
1275,5.0,0.0,0.0,1,-3.46,5,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,1.0,1.0,1.0,0.0,0.0,15,0.0,1.0,1.0,2.0,1.0,1
1276,5.0,0.0,0.0,2,-5.59,35,0.0,0.0,16,0.0,5,0,0,0.0,0.0,0.12,2,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,34,0,2,1.0,5.0,0.83,0.17,0.0,121,0.29,7.0,0.71,8.0,1.0,0
1277,21.0,0.0,0.0,2,-5.84,22,0.0,0.0,4,0.0,0,0,0,0.0,0.0,0.5,8,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,1.0,1.0,0.0,1.0,0.0,103,0.0,1.0,1.0,8.0,1.0,0
1278,6.0,0.0,0.0,2,-5.37,55,0.0,0.0,10,3.0,0,0,0,0.0,0.0,0.0,2,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0,0,0.0,5.0,1.0,0.0,0.0,155,0.0,10.0,1.0,4.0,1.0,0
1279,2.0,0.0,0.0,1,-3.46,2,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0.0,1.0,1.0,0.0,0.0,11,0.0,1.0,1.0,0.0,1.0,1
1280,15.0,0.06,0.0,1,-5.23,47,0.0,0.0,27,0.0,15,0,0,0.0,0.0,0.5,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,3.0,1.0,1.0,0.0,3.0,204,0.0,3.0,1.0,15.0,1.0,0
1281,6.0,0.0,0.0,2,-5.17,143,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0,0,0.0,2.0,1.0,0.0,0.0,389,0.0,22.0,0.82,1.0,0.64,3
1282,2.0,0.0,0.0,1,-2.81,2,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,1.0,0.0,0.0,7,0.0,1.0,1.0,0.0,1.0,1
1283,7.0,0.0,0.0,2,-5.56,33,0.0,0.0,7,1.0,1,0,0,0.0,0.0,0.17,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,0,1.0,4.0,1.0,0.0,0.0,101,0.0,5.0,1.0,3.0,1.0,0
1284,6.0,0.0,0.0,2,-5.89,58,0.0,0.0,27,4.0,0,0,0,0.0,0.0,0.17,5,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,49,0,2,2.0,4.0,1.0,0.0,0.0,213,0.0,10.0,0.8,13.0,0.8,2
1285,6.0,0.0,0.0,2,-3.73,6,0.0,0.0,2,0.0,0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,1.0,0.0,0.0,17,0.0,1.0,1.0,2.0,1.0,1
1286,1.0,0.0,0.0,1,-1.0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,1.0,0.0,0.0,0.0,2,1.0,1.0,0.0,0.0,0.0,1
